SRR number	Sample type
SRR11848697	lake sediment
SRR11848494	lake sediment
SRR11848491	lake sediment
SRR11848431	lake sediment
SRR11848394	lake sediment
SRR11848270	lake sediment
ERR3772643	lake sediment
ERR3772644	lake sediment
ERR3772645	lake sediment
ERR3772646	lake sediment
ERR3772647	lake sediment
ERR3772648	lake sediment
SRR11310428	lake sediment
SRR11310429	lake sediment
SRR11310430	lake sediment
SRR11310431	lake sediment
SRR10556100	lake sediment
SRR10556087	lake sediment
SRR10556086	lake sediment
SRR10555843	lake sediment
SRR10555794	lake sediment
SRR10555795	lake sediment
SRR10555796	lake sediment
SRR10555797	lake sediment
SRR10555798	lake sediment
SRR10555799	lake sediment
SRR10555779	lake sediment
SRR10555780	lake sediment
SRR10555772	lake sediment
SRR10555732	lake sediment
SRR10555727	lake sediment
SRR10555728	lake sediment
SRR10555301	lake sediment
SRR10032896	lake sediment
SRR10032891	lake sediment
SRR9952628	lake sediment
SRR9952629	lake sediment
SRR9952630	lake sediment
SRR9952631	lake sediment
SRR9952632	lake sediment
SRR9952633	lake sediment
SRR9952634	lake sediment
SRR9952635	lake sediment
SRR8652706	lake sediment
SRR8652707	lake sediment
SRR8652708	lake sediment
SRR8652709	lake sediment
SRR8652710	lake sediment
SRR8652711	lake sediment
SRR8652712	lake sediment
SRR8652713	lake sediment
SRR8539650	lake sediment
SRR7760390	lake sediment
SRR7760391	lake sediment
SRR7760396	lake sediment
SRR7760393	lake sediment
SRR7629274	lake sediment
SRR7629275	lake sediment
SRR7629276	lake sediment
SRR7629277	lake sediment
SRR7629278	lake sediment
SRR7629281	lake sediment
SRR7629282	lake sediment
SRR7083929	lake sediment
SRR7083931	lake sediment
SRR7083934	lake sediment
SRR3151633	lake sediment
SRR6159086	lake sediment
SRR6155504	lake sediment
SRR6155509	lake sediment
SRR6155503	lake sediment
SRR6155487	lake sediment
SRR6155418	lake sediment
SRR5747948	lake sediment
SRR5570991	WTTP sludge
SRR5570995	WTTP sludge
SRR5571005	river water
SRR5571007	river water
SRR5571008	WTTP sludge
SRR5571009	WTTP sludge
SRR5571010	river water
SRR5571011	WTTP sludge
SRR5571003	WTTP sludge
SRR5570992	WTTP sludge
SRR5570993	WTTP sludge
SRR5570994	WTTP sludge
SRR5535863	lake sediment
SRR5535864	lake sediment
SRR5535865	lake sediment
SRR5535866	lake sediment
SRR5535867	lake sediment
SRR5535868	lake sediment
SRR5535869	lake sediment
SRR5535870	lake sediment
SRR5535871	lake sediment
SRR5535872	lake sediment
SRR5535877	lake water
SRR5535881	lake sediment
SRR5535882	lake sediment
SRR5535883	lake sediment
SRR5535884	lake sediment
SRR5535885	lake sediment
SRR5535886	lake sediment
SRR5535887	lake sediment
SRR5535888	lake sediment
SRR5535890	lake sediment
SRR5468441	lake sediment
SRR5468439	lake sediment
SRR5468437	lake sediment
SRR5468436	lake sediment
SRR5468435	lake sediment
SRR5468434	lake sediment
SRR5468433	lake sediment
SRR5468432	lake sediment
SRR5468431	lake sediment
SRR5468430	lake sediment
SRR5468428	lake sediment
SRR5468427	lake sediment
SRR5468426	lake sediment
SRR5468425	lake sediment
SRR5468424	lake sediment
SRR5468423	lake sediment
SRR5468422	lake sediment
SRR5468420	lake sediment
ERR1843312	lake sediment
SRR5272498	lake sediment
SRR5272491	lake sediment
SRR5272489	lake sediment
SRR5272259	lake sediment
SRR5272222	lake sediment
SRR5215466	lake sediment
SRR5215464	lake sediment
ERR1294727	forest soil
ERR1726993	lake sediment
ERR1725848	lake sediment
ERR1560020	lake sediment
ERR1560014	lake sediment
ERR1560013	lake sediment
SRR3280906	lake sediment
SRR2989655	lake sediment
SRR2986055	lake sediment
ERR476713	lake sediment
SRR18316270	lake sediment
SRR18316271	lake sediment
SRR18316272	lake sediment
SRR18316273	lake sediment
SRR18316274	lake sediment
SRR18316275	lake sediment
SRR18316276	lake sediment
SRR18316277	lake sediment
SRR18316278	lake sediment
SRR18316279	lake sediment
SRR18316280	lake sediment
SRR18316281	lake sediment
SRR12656875	lake sediment
SRR12656876	lake sediment
SRR12656877	lake sediment
SRR12656878	lake sediment
SRR12656879	lake sediment
SRR12656880	lake sediment
SRR12656881	lake sediment
SRR12656882	lake sediment
SRR12656883	lake sediment
SRR12656884	lake sediment
SRR12656885	lake sediment
SRR12656886	lake sediment
SRR5831669	aquaculture
SRR21397094	lake sediment
SRR21397095	lake sediment
SRR15860090	lake sediment
SRR15860091	lake sediment
SRR15860092	lake sediment
SRR15860093	lake sediment
SRR15860094	lake sediment
SRR15860095	lake sediment
SRR15860096	lake sediment
SRR15860097	lake sediment
SRR15860098	lake sediment
SRR15860099	lake sediment
SRR15860100	lake sediment
SRR15860101	lake sediment
SRR15860102	lake sediment
SRR15860103	lake sediment
SRR15860104	lake sediment
SRR15860105	lake sediment
SRR20218958	estuarine sediment
SRR20218959	estuarine sediment
SRR20218960	estuarine sediment
SRR20218961	estuarine sediment
SRR20218962	estuarine sediment
SRR20218963	estuarine sediment
SRR20218964	estuarine sediment
SRR20218965	estuarine sediment
SRR20218966	estuarine sediment
SRR20218967	estuarine sediment
SRR20218968	estuarine sediment
SRR20218969	estuarine sediment
SRR20218970	estuarine sediment
SRR20218971	estuarine sediment
SRR20218972	estuarine sediment
SRR19627606	estuarine sediment
SRR19627607	estuarine sediment
SRR19627608	estuarine sediment
SRR19627609	estuarine sediment
SRR19627610	estuarine sediment
SRR19627611	estuarine sediment
SRR19627612	estuarine sediment
SRR19627613	estuarine sediment
SRR19627614	estuarine sediment
SRR19627615	estuarine sediment
SRR19627616	estuarine sediment
SRR19627617	estuarine sediment
SRR19627618	estuarine sediment
SRR18644948	estuarine sediment
SRR18644949	estuarine sediment
SRR18644950	estuarine sediment
SRR18644951	estuarine sediment
SRR18644952	estuarine sediment
SRR18644953	estuarine sediment
SRR18644954	estuarine sediment
SRR18644955	estuarine sediment
SRR18644956	estuarine sediment
SRR18644957	estuarine sediment
SRR18313726	estuarine sediment
SRR18313727	estuarine sediment
SRR18313728	estuarine sediment
SRR18313729	estuarine sediment
SRR18313730	estuarine sediment
